Beer,Brewery,Style,ABV,IBU,Comments,Venue,Venue City,Venue Region,Venue Lat,Venue Lng,Score,Date,Checkin URL,Beer URL,Brewery URL,Beer Country
"Hardcore IPA",BrewDog,"Imperial / Double IPA",9.2,150,,,,,,,5,"2012-03-11 20:08:16",https://untappd.com/c/5703616,https://untappd.com/beer/5707,https://untappd.com/brewery/241,Scotland
Goliath,"Wychwood Brewery","English Bitter",4.2,0,,,,,,,3,"2012-03-17 20:01:10",https://untappd.com/c/5872511,https://untappd.com/beer/12685,https://untappd.com/brewery/1376,England
"Cumberland Ale","Jennings Brewery","English Pale Ale",4,0,,,,,,,4,"2012-03-17 20:56:39",https://untappd.com/c/5876991,https://untappd.com/beer/6287,https://untappd.com/brewery/713,England
"Pride of Oxford","Oxfordshire Ales","Golden Ale",4.2,0,,,,,,,5,"2012-03-17 21:47:23",https://untappd.com/c/5881151,https://untappd.com/beer/45175,https://untappd.com/brewery/7242,England
"Yellow Snow IPA","Rogue Ales","American IPA",6.2,70,"Woah! That's a hoppy IPA!",,,,,,3,"2012-03-24 22:22:46",https://untappd.com/c/6091545,https://untappd.com/beer/4993,https://untappd.com/brewery/4565,"United States"
Pedigree,"Marston's Beer Co","English Pale Ale",4.5,0,,"George IV",Lichfield,Staffordshire,52.6832,-1.82707,4,"2012-04-05 13:31:23",https://untappd.com/c/6424739,https://untappd.com/beer/12892,https://untappd.com/brewery/1517,England
"Old Tom Ginger",Robinsons,"Herbed/Spiced Beer",6,0,"Blended with Fentimans! I had no idea!",,,,,,4,"2012-07-06 21:54:47",https://untappd.com/c/9662047,https://untappd.com/beer/45106,https://untappd.com/brewery/2908,England
"IPA Reserve","Greene King","English IPA",5.4,0,"Nicer than the normal Greene King IPA, but still bland as IPAs go",,,,,,3.5,"2012-07-22 17:26:00",https://untappd.com/c/10295990,https://untappd.com/beer/154589,https://untappd.com/brewery/612,England
"Pale Ale","Joule's Brewery","English Pale Ale",4.1,0,,"Duke of York",Lichfield,Staffordshire,52.6839,-1.82225,4,"2012-07-27 13:53:05",https://untappd.com/c/10466336,https://untappd.com/beer/77300,https://untappd.com/brewery/3558,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2012-07-27 22:49:39",https://untappd.com/c/10478949,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,,,,,,,5,"2012-07-27 23:02:35",https://untappd.com/c/10479827,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Brew XI","Mitchell's & Butler's","English Bitter",3.8,0,"The definition of 'meh'",,,,,,2,"2012-07-28 22:05:04",https://untappd.com/c/10542732,https://untappd.com/beer/381004,https://untappd.com/brewery/67663,England
"Brooklyn Lager","Brooklyn Brewery","Vienna Lager",5.2,33,"How a lager should taste",,,,,,4,"2012-07-29 17:02:13",https://untappd.com/c/10592930,https://untappd.com/beer/3558,https://untappd.com/brewery/259,"United States"
"Belgian White","Blue Moon Brewing Company",Witbier,5.4,9,"Like a slightly blander Hoegaarden. OK though",,,,,,3,"2012-07-29 21:15:14",https://untappd.com/c/10601727,https://untappd.com/beer/3839,https://untappd.com/brewery/127804,"United States"
"Pale Ale","Sierra Nevada Brewing Co.","American Pale Ale",5.6,37,Quaffable,,,,,,4.5,"2012-07-29 21:57:10",https://untappd.com/c/10603964,https://untappd.com/beer/6284,https://untappd.com/brewery/1142,"United States"
"Old Intentional","Derby Brewing Company","Extra Special/Strong Bitter",5,0,Quaffable,,,,,,4,"2012-08-04 19:56:26",https://untappd.com/c/10858179,https://untappd.com/beer/103374,https://untappd.com/brewery/12529,England
"Pure UBU","Purity Brewing Co. (England)","English Bitter",4.5,0,,,,,,,4,"2012-08-04 21:33:34",https://untappd.com/c/10865238,https://untappd.com/beer/6447,https://untappd.com/brewery/1536,England
"Brooklyn Lager","Brooklyn Brewery","Vienna Lager",5.2,33,"The more I drink it, the more I like it. Got a sort of yeasty bite to it too",,,,,,4,"2012-08-10 20:35:04",https://untappd.com/c/11116252,https://untappd.com/beer/3558,https://untappd.com/brewery/259,"United States"
"March Of The Penguins","Williams Brothers Brewing Co.",Stout,4.9,0,"S'alright I spose",,,,,,3,"2012-08-10 20:52:21",https://untappd.com/c/11116811,https://untappd.com/beer/34067,https://untappd.com/brewery/1367,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2012-08-10 21:47:10",https://untappd.com/c/11118966,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Proper Job","St Austell Brewery","English IPA",5.5,0,,,,,,,4,"2012-08-21 20:10:10",https://untappd.com/c/11666655,https://untappd.com/beer/5513,https://untappd.com/brewery/1186,England
"Cornish Gribben","Wooden Hand Brewery","English Pale Ale",4.1,0,,,,,,,3,"2012-08-22 20:55:34",https://untappd.com/c/11702022,https://untappd.com/beer/42349,https://untappd.com/brewery/5192,England
Trelawny,"St Austell Brewery","English Bitter",3.8,0,,,,,,,5,"2012-08-22 21:42:59",https://untappd.com/c/11703074,https://untappd.com/beer/60228,https://untappd.com/brewery/1186,England
Trelawny,"St Austell Brewery","English Bitter",3.8,0,"Bags of flavour for a 3.8%. Lovely bitterness from the Galaxy hops too.",,,,,,5,"2012-08-24 21:25:17",https://untappd.com/c/11789292,https://untappd.com/beer/60228,https://untappd.com/brewery/1186,England
"White Shield",Worthington's,"English IPA",5.6,0,"Probably a 3.5 to be honest. Not overly impressed",,,,,,4,"2012-09-06 21:07:02",https://untappd.com/c/12443558,https://untappd.com/beer/15084,https://untappd.com/brewery/12474,England
"India Pale Ale (IPA)","Goose Island Beer Co.","English IPA",5.9,55,"Nom nom nom",,,,,,3.5,"2012-09-07 18:05:40",https://untappd.com/c/12481978,https://untappd.com/beer/1353,https://untappd.com/brewery/2898,"United States"
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2012-09-07 21:42:40",https://untappd.com/c/12488938,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,,,,,,,5,"2012-09-07 22:34:46",https://untappd.com/c/12491552,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"India Pale Ale (IPA)","Goose Island Beer Co.","English IPA",5.9,55,"God. I bloody love this beer.",,,,,,3.5,"2012-09-21 20:29:55",https://untappd.com/c/13164233,https://untappd.com/beer/1353,https://untappd.com/brewery/2898,"United States"
"Tesco Finest American Double IPA",BrewDog,"Imperial / Double IPA",9.2,0,"We all know it's just Hardcore IPA",,,,,,5,"2012-09-21 21:04:35",https://untappd.com/c/13165547,https://untappd.com/beer/30912,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2012-09-21 22:41:19",https://untappd.com/c/13170536,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
Citra,"Oakham Ales","American Pale Ale",4.2,0,"Well balanced with a nice sweetness. Could drink another","The Wellington",Birmingham,"West Midlands",52.4806,-1.9005,5,"2012-09-22 15:48:28",https://untappd.com/c/13223541,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
Stout,"Sierra Nevada Brewing Co.","American Stout",5.8,50,"Like drinking Nutella. Not an altogether unpleasant experience","The Wellington",Birmingham,"West Midlands",52.4806,-1.9005,4,"2012-09-22 15:58:14",https://untappd.com/c/13223712,https://untappd.com/beer/6201,https://untappd.com/brewery/1142,"United States"
"Pale Ale","Sierra Nevada Brewing Co.","American Pale Ale",5.6,37,,"The Victoria",Birmingham,"West Midlands",52.4761,-1.90078,4.5,"2012-09-29 20:38:37",https://untappd.com/c/13594783,https://untappd.com/beer/6284,https://untappd.com/brewery/1142,"United States"
"Great White Geek","Beer Geek Brewery","English Pale Ale",4.5,0,,"The Victoria",Birmingham,"West Midlands",52.4761,-1.90078,4,"2012-09-29 20:59:57",https://untappd.com/c/13596841,https://untappd.com/beer/133377,https://untappd.com/brewery/22423,England
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2012-09-30 21:31:12",https://untappd.com/c/13680529,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
"Nicholson's Pale Ale","St Austell Brewery","English Pale Ale",4,0,"Pleasant, easy drinking pale ale","The Marquis of Granby (Nicholson's)","City of Westminster","Greater London",51.4952,-0.127083,4,"2012-10-04 16:29:38",https://untappd.com/c/13819015,https://untappd.com/beer/170353,https://untappd.com/brewery/1186,England
Citra,"Oakham Ales","American Pale Ale",4.2,0,,"Duke of York",Lichfield,Staffordshire,52.6839,-1.82225,5,"2012-10-12 12:53:15",https://untappd.com/c/14239776,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Brooklyn Lager","Brooklyn Brewery","Vienna Lager",5.2,33,,,,,,,4,"2012-10-14 20:32:17",https://untappd.com/c/14425579,https://untappd.com/beer/3558,https://untappd.com/brewery/259,"United States"
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,,,,,,4.5,"2012-10-14 20:58:04",https://untappd.com/c/14427442,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2012-10-19 21:07:43",https://untappd.com/c/14628845,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,"Making and drinking!",,,,,,5,"2012-10-20 20:44:35",https://untappd.com/c/14710321,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Dark Prince","Holdens Brewery","Golden Ale",4.3,0,,"Duke of York",Lichfield,Staffordshire,52.6839,-1.82225,4,"2012-10-26 12:37:30",https://untappd.com/c/15000516,https://untappd.com/beer/248576,https://untappd.com/brewery/19769,England
"Golden Glow","Holdens Brewery","Golden Ale",4.4,0,"Continuing the Holden's theme from earlier!",,,,,,3,"2012-10-26 21:07:47",https://untappd.com/c/15010233,https://untappd.com/beer/41221,https://untappd.com/brewery/19769,England
"Pure UBU","Purity Brewing Co. (England)","English Bitter",4.5,0,"Standard :)",,,,,,4,"2012-10-26 21:45:17",https://untappd.com/c/15011987,https://untappd.com/beer/6447,https://untappd.com/brewery/1536,England
"Golden Glory","Hall & Woodhouse (Badger Beers)","Specialty Grain",4.5,0,"Bit of a guilty pleasure, quite floral and sweet, but quaffable",,,,,,4,"2012-10-26 22:15:41",https://untappd.com/c/15013712,https://untappd.com/beer/16978,https://untappd.com/brewery/1752,England
"Vedett Extra Blond","Duvel Moortgat","Pale Lager",5.2,0,"Nice palate cleanser to start the evening",,,,,,4,"2012-11-02 20:57:45",https://untappd.com/c/15397264,https://untappd.com/beer/8653,https://untappd.com/brewery/167,Belgium
Spindrift,Adnams,"Blonde Ale",5,24,,,,,,,,"2012-11-02 21:38:49",https://untappd.com/c/15400056,https://untappd.com/beer/6198,https://untappd.com/brewery/11,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2012-11-03 19:06:52",https://untappd.com/c/15472293,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"London Pale Ale","Meantime Brewing Company","English Pale Ale",4.3,0,,,,,,,4,"2012-11-03 19:09:50",https://untappd.com/c/15472494,https://untappd.com/beer/12332,https://untappd.com/brewery/844,England
Pedigree,"Marston's Beer Co","English Pale Ale",4.5,0,"Bonfire times!","The Swan Inn","West Midlands","West Midlands",52.5332,-1.67851,4,"2012-11-03 20:31:56",https://untappd.com/c/15479795,https://untappd.com/beer/12892,https://untappd.com/brewery/1517,England
Inferno,"Oakham Ales","Golden Ale",4,0,,"Duke of York",Lichfield,Staffordshire,52.6839,-1.82225,4,"2012-11-09 13:44:33",https://untappd.com/c/15791035,https://untappd.com/beer/14764,https://untappd.com/brewery/931,England
"Single Hop Kohatu","Marston's Beer Co","English Pale Ale",4,0,,"The Blake Barn",Shenstone,Staffordshire,52.605,-1.84365,4,"2012-11-18 16:18:15",https://untappd.com/c/16359943,https://untappd.com/beer/261684,https://untappd.com/brewery/1517,England
"Newcastle Winter IPA","Caledonian Brewing Company ","English IPA",5.2,0,"Slightly thin tasting, And could do with being a bit hoppier, but not bad overall.",,,,,,3,"2012-11-22 20:42:57",https://untappd.com/c/16591481,https://untappd.com/beer/30851,https://untappd.com/brewery/2071,Scotland
"312 Urban Wheat Ale","Goose Island Beer Co.","American Pale Wheat Ale",4.2,18,"Lovely stuff. Like a cross between an IPA and a weissbier.",,,,,,5,"2012-11-22 21:55:24",https://untappd.com/c/16600296,https://untappd.com/beer/5925,https://untappd.com/brewery/2898,"United States"
"Erdinger Weißbier Dunkel","Erdinger Weissbräu",Dunkelweizen,5.3,0,,,,,,,3,"2012-11-22 22:23:52",https://untappd.com/c/16603986,https://untappd.com/beer/8697,https://untappd.com/brewery/1019,Germany
Infinity,"Blue Monkey Brewery ","English Pale Ale",4.6,0,,"Duke of York",Lichfield,Staffordshire,52.6839,-1.82225,4,"2012-11-23 13:41:54",https://untappd.com/c/16652139,https://untappd.com/beer/88263,https://untappd.com/brewery/5703,England
"Mr Sno'balls","Harviestoun Brewery","English Bitter",4.5,0,,,,,,,,"2012-11-23 20:24:57",https://untappd.com/c/16666224,https://untappd.com/beer/14394,https://untappd.com/brewery/638,Scotland
"Vintage Ale",Batemans,"English Barleywine",7.5,0,"Big hit of treacle, a bit of burnt caramel and a slight botanical touch. Very special.",,,,,,4,"2012-11-25 21:10:46",https://untappd.com/c/16849919,https://untappd.com/beer/267823,https://untappd.com/brewery/8151,England
1845,"Fuller, Smith & Turner ","English Strong Ale",6.3,0,"Like drinking Christmas cake, with a hoppy edge to balance out the fruitiness",,,,,,4,"2012-11-28 21:40:10",https://untappd.com/c/16961062,https://untappd.com/beer/19611,https://untappd.com/brewery/3296,England
"Pale Ale","Joule's Brewery","English Pale Ale",4.1,0,"Didn't fancy the guest ale today, so back to the default option","Duke of York",Lichfield,Staffordshire,52.6839,-1.82225,4,"2012-11-29 13:00:30",https://untappd.com/c/16996689,https://untappd.com/beer/77300,https://untappd.com/brewery/3558,England
"Geek Unique","Beer Geek Brewery","English Bitter",4.3,0,"Like Badger Golden Glory, but a bit more of a malty, robust flavour","Hare & Hounds",Birmingham,"West Midlands",52.4346,-1.89306,4,"2012-12-08 21:45:47",https://untappd.com/c/17561079,https://untappd.com/beer/133963,https://untappd.com/brewery/22423,England
XXX,"Three Tuns Brewery","English Bitter",4.3,0,,,,,,,4,"2012-12-09 14:22:14",https://untappd.com/c/17636546,https://untappd.com/beer/69038,https://untappd.com/brewery/7998,England
"Dog A",BrewDog,"American Imperial / Double Stout",15.1,0,"Warm, chocolatey, with a yeasty finish","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4,"2012-12-12 19:39:24",https://untappd.com/c/17773514,https://untappd.com/beer/142808,https://untappd.com/brewery/241,Scotland
"Juniper Wheat",BrewDog,Witbier,5,0,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4,"2012-12-12 20:32:16",https://untappd.com/c/17774735,https://untappd.com/beer/63463,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4.5,"2012-12-12 20:52:49",https://untappd.com/c/17775274,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
Jade,"Liverpool Organic","English Bitter",4.4,0,"Pleasant, hoppy English bitter. Like mama used to make",,,,,,4,"2012-12-23 19:59:29",https://untappd.com/c/18500661,https://untappd.com/beer/74827,https://untappd.com/brewery/7699,England
"World's Biggest Liar","Jennings Brewery","English Bitter",4.3,0,"Pleasant dark ale with hints of toffee",Turnpike,Lichfield,Staffordshire,52.6801,-1.80496,4,"2012-12-25 13:33:56",https://untappd.com/c/18654216,https://untappd.com/beer/51001,https://untappd.com/brewery/713,England
Pedigree,"Marston's Beer Co","English Pale Ale",4.5,0,"It's always kept very well here. First pub I worked in and the first pub that turned me on to proper beer",Turnpike,Lichfield,Staffordshire,52.6801,-1.80496,4,"2012-12-25 13:55:10",https://untappd.com/c/18654511,https://untappd.com/beer/12892,https://untappd.com/brewery/1517,England
"Old Empire","Marston's Beer Co","English IPA",5.7,0,"Good antidote to the ultra-hoppiness of the US-style IPAs (which I still love). Well rounded with a slight sweetness",,,,,,3.5,"2012-12-28 20:54:46",https://untappd.com/c/18890551,https://untappd.com/beer/15040,https://untappd.com/brewery/1517,England
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,"Nice counterpoint to the last beer",,,,,,5,"2012-12-28 22:07:59",https://untappd.com/c/18896156,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
"International Arms Race",BrewDog,"Gruit / Ancient Herbed Ale",7.5,0,"Had this last night and forgot to check in. Forgot it had no hops in. Lovely job.",,,,,,5,"2012-12-28 22:10:38",https://untappd.com/c/18896414,https://untappd.com/beer/160245,https://untappd.com/brewery/241,Scotland
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,Boom!,,,,,,5,"2012-12-28 22:28:25",https://untappd.com/c/18897993,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Franziskaner Hefe-Weissbier Naturtrüb",Spaten-Franziskaner-Löwenbräu-Gruppe,Hefeweizen,5,4,"Been on this all Christmas. 3 for £5 in Sainsbury's",,,,,,4.5,"2012-12-29 20:03:52",https://untappd.com/c/18984559,https://untappd.com/beer/14564,https://untappd.com/brewery/1176,Germany
"Pale Ale","Sierra Nevada Brewing Co.","American Pale Ale",5.6,37,,,,,,,4.5,"2012-12-29 22:08:54",https://untappd.com/c/18997597,https://untappd.com/beer/6284,https://untappd.com/brewery/1142,"United States"
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2012-12-29 22:09:53",https://untappd.com/c/18997628,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
"Old Empire","Marston's Beer Co","English IPA",5.7,0,"I've got a backlog :)",,,,,,3.5,"2012-12-29 22:41:31",https://untappd.com/c/19001616,https://untappd.com/beer/15040,https://untappd.com/brewery/1517,England
"Mein Nelson Sauvin (TAPX)","Weisses Bräuhaus G. Schneider & Sohn",Weizenbock,7.3,27,,"Post Office Vaults",Birmingham,"West Midlands",52.4792,-1.90191,4,"2012-12-30 20:26:53",https://untappd.com/c/19089054,https://untappd.com/beer/79673,https://untappd.com/brewery/1023,Germany
"American Pale Ale","Milestone Brewing Co","American Pale Ale",4.6,0,,"Post Office Vaults",Birmingham,"West Midlands",52.4792,-1.90191,4,"2012-12-30 20:28:39",https://untappd.com/c/19089258,https://untappd.com/beer/173338,https://untappd.com/brewery/4173,England
Citra,"Oakham Ales","American Pale Ale",4.2,0,"Just catching up!",,,,,,5,"2012-12-30 21:01:24",https://untappd.com/c/19092503,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Sink The Bismarck!",BrewDog,"Imperial / Double IPA",41,0,"Fruitier than I expected. Tasty stuff.","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,5,"2012-12-30 21:02:24",https://untappd.com/c/19092591,https://untappd.com/beer/6039,https://untappd.com/brewery/241,Scotland
Zeitgeist,BrewDog,"Black Lager",4.9,27,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4,"2012-12-30 21:05:41",https://untappd.com/c/19092938,https://untappd.com/beer/15078,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2012-12-31 20:19:48",https://untappd.com/c/19171644,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Franziskaner Hefe-Weissbier Dunkel",Spaten-Franziskaner-Löwenbräu-Gruppe,Dunkelweizen,5,0,,,,,,,,"2012-12-31 20:53:04",https://untappd.com/c/19174187,https://untappd.com/beer/4519,https://untappd.com/brewery/1176,Germany
"India Pale Ale (IPA)","Goose Island Beer Co.","English IPA",5.9,55,"Disappointing that Goose Island have been bought out by InBev. Thankfully they've not ruined it. Yet.",,,,,,3.5,"2012-12-31 23:02:58",https://untappd.com/c/19186892,https://untappd.com/beer/1353,https://untappd.com/brewery/2898,"United States"
"Franziskaner Hefe-Weissbier Naturtrüb",Spaten-Franziskaner-Löwenbräu-Gruppe,Hefeweizen,5,4,"Last of the Christmas weissbiers",,,,,,4.5,"2013-01-01 20:36:12",https://untappd.com/c/19307522,https://untappd.com/beer/14564,https://untappd.com/brewery/1176,Germany
"Pale Ale","Joule's Brewery","English Pale Ale",4.1,0,,"Duke of York",Lichfield,Staffordshire,52.6839,-1.82225,4,"2013-01-04 13:26:16",https://untappd.com/c/19445136,https://untappd.com/beer/77300,https://untappd.com/brewery/3558,England
"Old Empire","Marston's Beer Co","English IPA",5.7,0,,,,,,,3.5,"2013-01-04 21:06:48",https://untappd.com/c/19454375,https://untappd.com/beer/15040,https://untappd.com/brewery/1517,England
